Kejuruan,Blended,Offline,Online,Total
AGRIBISNIS,4,6,2,12
BABY SITTER,7,4,0,11
BANGUNAN,36,59,15,110
BISNIS DAN MANAJEMEN,97,66,156,319
CHILD CAREWORKER,2,1,0,3
DESAIN BATIK,1,11,0,12
ELDERLY CARETAKER,11,3,6,20
FAMILY DRIVER,5,2,0,7
GARMEN APPAREL,36,80,5,121
HOUSEKEEPING,12,9,6,27
INDUSTRI KREATIF,8,39,11,58
METODOLOGI PELATIHAN,2,2,4,8
PARIWISATA,82,99,36,217
PENGEMBANGAN SOSIAL MASYARAKAT,1,0,0,1
PERIKANAN,8,9,14,31
PERTANIAN,29,32,1,62
PROCESSING,14,34,7,55
PRODUKTIVITAS,15,5,8,28
REFRIGERATION,17,20,0,37
TATA BOGA,8,5,9,22
TATA BUSANA,33,10,8,51
TATA KECANTIKAN,57,52,33,142
TEKNIK ELEKTRONIKA,26,28,2,56
TEKNIK LAS,44,69,0,113
TEKNIK LISTRIK,17,27,7,51
TEKNIK MANUFAKTUR,20,35,10,65
TEKNIK OTOMOTIF,38,69,43,150
TEKNOLOGI INFORMASI DAN KOMUNIKASI,175,134,328,637
